subject,source_name,record_count
biology,stemez-Biology,268
biology,stemez-Genetics,147
biology,ori_mmlu-high_school_biology,140
biology,ori_mmlu-college_biology,79
chemistry,stemez-Chemistry,508
chemistry,stemez-PhysicalChemistry,216
chemistry,ori_mmlu-high_school_chemistry,115
chemistry,scibench-atkins,101
chemistry,ori_mmlu-college_chemistry,63
chemistry,scibench-matter,47
chemistry,scibench-chemmc,33
chemistry,scibench-quan,32
chemistry,stemez-OrganicChemistry,17
math,theoremQA-Math,344
math,ori_mmlu-elementary_mathematics,303
math,ori_mmlu-high_school_mathematics,241
math,ori_mmlu-high_school_statistics,143
math,ori_mmlu-abstract_algebra,83
math,ori_mmlu-college_mathematics,74
math,scibench-stat,70
math,scibench-diff,50
math,scibench-calculus,40
physics,stemez-Physics,391
physics,stemez-Optics,193
physics,ori_mmlu-conceptual_physics,134
physics,ori_mmlu-high_school_physics,126
physics,theoremQA-Physics,104
physics,ori_mmlu-astronomy,78
physics,ori_mmlu-college_physics,68
physics,scibench-fund,67
physics,scibench-thermo,55
physics,scibench-class,45
physics,stemez-Mechanics,33
