source_name,n,error_count,error_rate
scibench-quan,8,4,0.5
scibench-thermo,8,4,0.5
ori_mmlu-astronomy,14,6,0.4286
stemez-OrganicChemistry,5,2,0.4
ori_mmlu-college_chemistry,11,4,0.3636
scibench-matter,12,4,0.3333
ori_mmlu-conceptual_physics,17,5,0.2941
scibench-calculus,7,2,0.2857
ori_mmlu-high_school_chemistry,20,5,0.25
scibench-chemmc,4,1,0.25
stemez-PhysicalChemistry,22,4,0.1818
stemez-Genetics,26,4,0.1538
ori_mmlu-college_biology,13,2,0.1538
stemez-Biology,39,5,0.1282
theoremQA-Physics,16,2,0.125
scibench-diff,9,1,0.1111
stemez-Physics,56,5,0.0893
stemez-Optics,23,2,0.087
ori_mmlu-high_school_biology,12,1,0.0833
stemez-Chemistry,66,5,0.0758
ori_mmlu-elementary_mathematics,42,3,0.0714
ori_mmlu-high_school_statistics,15,1,0.0667
ori_mmlu-college_physics,16,1,0.0625
ori_mmlu-high_school_physics,16,1,0.0625
theoremQA-Math,48,2,0.0417
ori_mmlu-high_school_mathematics,43,1,0.0233
ori_mmlu-abstract_algebra,14,0,0.0
scibench-atkins,14,0,0.0
scibench-fund,11,0,0.0
scibench-stat,10,0,0.0
scibench-class,6,0,0.0
ori_mmlu-college_mathematics,5,0,0.0
stemez-Mechanics,2,0,0.0
