slice_type,slice_value,n,correct,errors,accuracy,error_rate
subject,biology,90,78,12,0.8666666666666667,0.13333333333333333
subject,chemistry,162,133,29,0.8209876543209876,0.17901234567901234
subject,math,193,183,10,0.9481865284974094,0.05181347150259067
subject,physics,185,159,26,0.8594594594594595,0.14054054054054055
source,ori_mmlu-abstract_algebra,14,14,0,1.0,0.0
source,ori_mmlu-astronomy,14,8,6,0.5714285714285714,0.42857142857142855
source,ori_mmlu-college_biology,13,11,2,0.8461538461538461,0.15384615384615385
source,ori_mmlu-college_chemistry,11,7,4,0.6363636363636364,0.36363636363636365
source,ori_mmlu-college_mathematics,5,5,0,1.0,0.0
source,ori_mmlu-college_physics,16,15,1,0.9375,0.0625
source,ori_mmlu-conceptual_physics,17,12,5,0.7058823529411765,0.29411764705882354
source,ori_mmlu-elementary_mathematics,42,39,3,0.9285714285714286,0.07142857142857142
source,ori_mmlu-high_school_biology,12,11,1,0.9166666666666666,0.08333333333333333
source,ori_mmlu-high_school_chemistry,20,15,5,0.75,0.25
source,ori_mmlu-high_school_mathematics,43,42,1,0.9767441860465116,0.023255813953488372
source,ori_mmlu-high_school_physics,16,15,1,0.9375,0.0625
source,ori_mmlu-high_school_statistics,15,14,1,0.9333333333333333,0.06666666666666667
source,scibench-atkins,14,14,0,1.0,0.0
source,scibench-calculus,7,5,2,0.7142857142857143,0.2857142857142857
source,scibench-chemmc,4,3,1,0.75,0.25
source,scibench-class,6,6,0,1.0,0.0
source,scibench-diff,9,8,1,0.8888888888888888,0.1111111111111111
source,scibench-fund,11,11,0,1.0,0.0
source,scibench-matter,12,8,4,0.6666666666666666,0.3333333333333333
source,scibench-quan,8,4,4,0.5,0.5
source,scibench-stat,10,10,0,1.0,0.0
source,scibench-thermo,8,4,4,0.5,0.5
source,stemez-Biology,39,34,5,0.8717948717948718,0.1282051282051282
source,stemez-Chemistry,66,61,5,0.9242424242424242,0.07575757575757576
source,stemez-Genetics,26,22,4,0.8461538461538461,0.15384615384615385
source,stemez-Mechanics,2,2,0,1.0,0.0
source,stemez-Optics,23,21,2,0.9130434782608695,0.08695652173913043
source,stemez-OrganicChemistry,5,3,2,0.6,0.4
source,stemez-PhysicalChemistry,22,18,4,0.8181818181818182,0.18181818181818182
source,stemez-Physics,56,51,5,0.9107142857142857,0.08928571428571429
source,theoremQA-Math,48,46,2,0.9583333333333334,0.041666666666666664
source,theoremQA-Physics,16,14,2,0.875,0.125
length_band,<100,152,122,30,0.8026315789473685,0.19736842105263158
length_band,100-199,225,207,18,0.92,0.08
length_band,200-399,211,187,24,0.8862559241706162,0.11374407582938388
length_band,400+,42,37,5,0.8809523809523809,0.11904761904761904
